Cycle,Time
1,0
2,14.337
3,28.107
4,42.039
5,55.6065
6,68.769
7,82.134
8,96.1065
9,109.269
10,122.634
11,135.196216
12,148.2085
13,161.502638
14,175.172582
15,188.902062
16,202.469562
17,216.464268
18,230.134212
19,243.616253
20,257.14527
21,270.768238
22,284.203304
23,297.450466
24,310.79158
25,324.367572
26,337.683562
27,351.190727
28,363.686277
29,376.886464
30,389.76825
31,402.535225
32,415.923314
33,428.64825
34,441.20325
35,453.597868
36,465.86775
37,477.837356
38,489.946875
39,501.489375
40,514.102637
41,526.833066
42,539.516519
43,551.777191
44,563.943911
45,576.909219
46,589.189625
47,601.195683
48,613.080548
49,625.904929
50,638.132
51,650.915
52,663.915
53,676.54
54,689.165
55,701.488915
56,713.065
57,724.065
58,735.565
59,747.94
60,759.64
61,771.265
62,783.89
63,796.239008
64,808.54
65,821.24
66,833.565
67,846.080281
68,859.186516
